SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Trt1,tr2
9091,1,805,11:15:00 AM,2,22:09:00,10:54:00,0,805,115,23,7,0.304347826,,
9974,1,803,5:30:00 PM,2,21:13:00,3:43:00,0,800,118,15,1,0.066666667,,
10013,1,798,4:46:00 AM,2,8:41:00,3:55:00,0,794,119,16,2,0.125,,
10075,1,796,6:06:00 PM,2,2:04:00,7:58:00,0,796,115,21,3,0.142857143,,
10139,1,807,11:54:00 AM,2,18:02:00,6:08:00,0,806,116,8,0,0,,
10213,1,821,3:30:00 PM,2,22:59:00,7:29:00,0,822,114,19,0,0,,
10218,1,818,1:05:00 PM,2,21:13:00,8:08:00,0,817,116,16,2,0.125,,
10378,1,812,2:51:00 PM,2,16:11:00,1:20:00,0,812,115,14,0,0,,
11822,1,811,1:55:00 AM,2,6:34:00,4:39:00,0,811,115,19,1,0.052631579,,
11892,1,797,10:55:00 AM,2,17:28:00,6:33:00,0,796,116,16,0,0,,
12363,1,799,7:40:00 AM,2,11:46:00,4:06:00,0,796,118,16,0,0,,
12382,1,825,12:58:00 PM,2,21:58:00,9:00:00,0,824,116,15,0,0,,
12392,1,817,11:47:00 PM,2,3:27:00,3:40:00,0,816,116,18,3,0.166666667,,
12425,1,800,4:28:00 AM,2,9:54:00,5:26:00,0,798,117,23,4,0.173913043,,
12508,1,824,4:00:00 PM,2,20:38:00,4:38:00,0,824,115,16,1,0.0625,,
12534,1,814,10:42:00 PM,2,1:57:00,3:15:00,0,814,115,19,0,0,,
12665,1,795,7:47:00 PM,2,0:49:00,5:02:00,0,794,116,#N/A,#N/A,#N/A,,
12756,1,826,10:45:00 AM,2,12:45:00,2:00:00,1,822,119,3,0,0,,
12849,1,824,1:01:00 AM,2,5:07:00,4:06:00,0,823,116,19,0,0,,
12871,1,819,10:16:00 AM,2,17:15:00,6:59:00,0,819,115,19,1,0.052631579,,
12934,1,823,5:15:00 PM,2,3:28:00,10:13:00,0,824,114,#N/A,#N/A,#N/A,,
13008,1,820,11:11:00 AM,2,16:04:00,4:53:00,0,819,116,16,0,0,,
13593,1,800,7:55:00 AM,2,14:00:00,6:05:00,0,798,117,21,0,0,,
13848,1,795,2:33:00 PM,2,17:49:00,3:16:00,0,795,115,16,0,0,,
13937,1,823,4:00:00 PM,2,19:05:00,3:05:00,0,821,117,15,2,0.133333333,,
14029,1,827,12:34:00 PM,2,14:50:00,2:16:00,0,826,116,16,1,0.0625,,
14044,1,812,3:12:00 PM,2,20:22:00,5:10:00,0,810,117,17,0,0,,
14102,1,825,7:02:00 AM,2,13:30:00,6:28:00,0,824,116,22,6,0.272727273,,
14118,1,801,8:45:00 AM,2,12:44:00,3:59:00,1,798,118,15,0,0,,
14146,1,807,1:35:00 PM,2,19:31:00,5:56:00,0,805,117,18,3,0.166666667,,
14160,1,805,8:34:00 PM,2,11:02:00,14:28:00,0,802,118,12,0,0,,
14211,1,820,1:34:00 PM,2,17:40:00,4:06:00,0,819,116,17,3,0.176470588,,
14238,1,826,10:07:00 PM,2,2:04:00,3:57:00,0,826,115,19,0,0,,
14239,1,810,10:51:00 PM,2,6:25:00,7:34:00,0,809,116,16,1,0.0625,,
15004,1,806,3:37:00 AM,2,10:24:00,6:47:00,0,805,116,7,0,0,,
15019,1,812,3:18:00 PM,2,19:58:00,4:40:00,0,810,117,14,1,0.071428571,,
15106,1,822,12:22:00 PM,2,7:47:00,19:25:00,0,824,113,12,1,0.083333333,,
15123,1,817,7:35:00 AM,2,11:31:00,3:56:00,0,817,115,13,0,0,,
15173,1,820,4:03:00 PM,2,21:26:00,5:23:00,0,819,116,11,0,0,,
15187,1,818,12:34:00 PM,2,14:35:00,2:01:00,0,818,115,14,0,0,,
15207,1,819,12:56:00 PM,2,15:50:00,2:54:00,0,818,116,15,0,0,,
15230,1,822,8:38:00 PM,2,3:48:00,7:10:00,0,821,116,12,1,0.083333333,,
15236,1,818,10:47:00 AM,2,13:12:00,2:25:00,0,818,115,14,0,0,,
15240,1,819,11:47:00 PM,2,7:12:00,7:25:00,0,821,113,#N/A,#N/A,#N/A,,
15244,1,827,5:30:00 PM,2,23:51:00,6:21:00,0,828,114,18,0,0,,
15265,1,811,5:17:00 PM,2,20:52:00,3:35:00,0,809,117,#N/A,#N/A,#N/A,,
15304,1,823,2:37:00 AM,2,8:39:00,6:02:00,0,821,117,13,0,0,,
15307,1,827,10:05:00 AM,2,13:20:00,3:15:00,0,828,114,16,0,0,,
4105,1,817,11:38:00 PM,3,16:28:00,7:10:00,0,818,114,18,3,0.166666667,,
4403,1,819,9:57:00 PM,3,1:51:00,3:54:00,0,819,115,15,2,0.133333333,,
4844,1,820,5:30:00 PM,3,21:19:00,3:49:00,0,819,116,17,0,0,,
5320,1,798,4:30:00 PM,3,17:48:00,1:18:00,0,798,115,17,0,0,,
6046,1,797,9:58:00 AM,3,12:59:00,3:01:00,0,794,118,17,1,0.058823529,,
6482,1,827,1:21:00 AM,3,5:14:00,3:53:00,0,827,115,18,4,0.222222222,,
6658,1,807,11:37:00 PM,3,2:37:00,3:00:00,0,806,116,16,1,0.0625,,
7761,1,815,8:39:00 PM,3,3:24:00,6:45:00,0,815,115,17,4,0.235294118,,
7984,1,796,4:04:00 AM,3,11:37:00,7:33:00,0,794,117,15,0,0,,
8718,1,795,4:08:00 PM,3,1:26:00,9:18:00,0,794,116,13,0,0,,
9377,1,798,7:18:00 PM,3,23:50:00,4:32:00,0,796,117,21,4,0.19047619,,
9401,1,822,2:30:00 PM,3,20:54:00,6:24:00,0,822,115,17,3,0.176470588,,
9693,1,810,10:51:00 PM,3,6:30:00,7:39:00,0,809,116,24,4,0.166666667,,
10240,1,810,6:14:00 PM,3,21:25:00,3:11:00,0,808,117,12,0,0,,
10270,1,811,6:54:00 AM,3,9:10:00,2:16:00,0,808,118,19,7,0.368421053,,
10374,1,815,10:21:00 AM,3,13:43:00,3:22:00,0,812,118,17,2,0.117647059,,
12972,1,827,7:10:00 PM,3,22:15:00,3:05:00,0,826,116,19,1,0.052631579,,
13288,1,802,7:48:00 PM,3,0:42:00,4:54:00,0,800,117,11,0,0,,
13692,1,825,4:20:00 PM,3,7:15:00,14:55:00,0,824,116,15,1,0.066666667,,
13701,1,822,12:15:00 PM,3,14:30:00,2:15:00,0,819,118,19,0,0,,
