SowID,Treatment,FarrowDate,Onset,Piglet,End,FarrowTime,Induce,DueDate,GestationLength,TNB,SB,SB_perc,Start_H,Start_M,Start_Minutes,Finish_H,Finish_M,Finish_Minutes,Duration,Factor
12837,1,822,1899-12-31T05:30:00Z,6,1899-12-31T10:05:00Z,1900-01-01T04:35:00Z,0,819,118,16,1,0.0625,05,30,330,10,05,605,275,1
13912,1,822,1899-12-31T05:31:00Z,6,1899-12-31T10:05:00Z,1900-01-01T04:34:00Z,0,819,118,15,3,0.2,05,31,331,10,05,605,274,1
4091,1,804,1899-12-31T02:42:00Z,7,1899-12-31T06:30:00Z,1899-12-31T03:48:00Z,0,801,118,12,0,0,02,42,162,06,30,390,228,1
6154,1,795,1899-12-31T18:15:00Z,7,1899-12-31T23:45:00Z,1900-01-01T05:30:00Z,0,797,113,16,1,0.0625,18,15,1095,23,45,1425,330,1
10288,1,817,1899-12-31T02:48:00Z,7,1899-12-31T06:40:00Z,1900-01-01T03:52:00Z,0,814,118,19,5,0.2631578947368421,02,48,168,06,40,400,232,1
10289,1,825,1899-12-31T21:37:00Z,7,1899-12-31T23:40:00Z,1900-01-01T02:03:00Z,0,823,117,22,2,0.09090909090909091,21,37,1297,23,40,1420,123,1
15191,1,816,1899-12-31T13:49:00Z,7,1899-12-31T15:32:00Z,1900-01-01T01:43:00Z,0,817,114,13,3,0.23076923076923078,13,49,829,15,32,932,103,1
11943,1,812,1899-12-31T19:26:00Z,8,1899-12-31T21:01:00Z,1900-01-01T01:35:00Z,0,810,117,17,4,0.23529411764705882,19,26,1166,21,01,1261,95,1
14184,1,812,1899-12-31T19:32:00Z,9,1899-12-31T21:13:00Z,1900-01-01T01:41:00Z,0,812,115,17,0,0,19,32,1172,21,13,1273,101,1
6944,1,823,1899-12-31T21:21:00Z,10,1899-12-31T23:53:00Z,1900-01-01T02:32:00Z,0,822,116,18,1,0.05555555555555555,21,21,1281,23,53,1433,152,1
12717,1,826,1899-12-31T22:09:00Z,10,1899-12-31T23:06:00Z,1900-01-01T00:57:00Z,0,826,115,17,1,0.058823529411764705,22,09,1329,23,06,1386,57,1
14176,1,826,1899-12-31T11:02:00Z,10,1899-12-31T23:53:00Z,1900-01-01T12:51:00Z,0,825,116,23,1,0.043478260869565216,11,02,662,23,53,1433,771,1
15073,1,808,1899-12-31T20:25:00Z,11,1899-12-31T22:55:00Z,1900-01-01T02:30:00Z,0,809,114,18,0,0,20,25,1225,22,55,1375,150,1
15303,1,825,1899-12-31T22:05:00Z,11,1899-12-31T03:12:00Z,1899-12-31T05:07:00Z,0,828,112,18,2,0.1111111111111111,22,05,1325,03,12,192,307,1
3995,2,799,1899-12-31T13:48:00Z,1,1899-12-31T18:41:00Z,1899-12-31T04:53:00Z,0,798,116,18,2,0.1111111111111111,13,48,828,18,41,1121,293,1
